EventID,SectionID,TrackID,X,Y,Frame,Class,Vidfilename,DateTime
313,Haltelinie,158,292,284,14364,Bus,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:58
314,Querschnitt_Straße,158,632,439,14383,Bus,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:56:59
315,Haltelinie,159,290,285,14486,Bus,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:04
316,Querschnitt_Straße,159,621,450,14504,Bus,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:05
317,Haltelinie,160,395,253,14520,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:06
318,Querschnitt_Straße,160,725,373,14540,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:07
319,Haltelinie,161,192,321,14574,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:08
320,Querschnitt_Straße,161,471,554,14608,Fahrrad ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:10
321,FG1,162,542,217,14528,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:06
322,FG2,162,193,374,14652,Person,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:12
323,Haltelinie,163,380,254,15224,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:41
324,Querschnitt_Straße,163,738,367,15288,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:44
325,Haltelinie,164,281,288,15233,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:41
326,Querschnitt_Straße,164,630,442,15267,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:43
327,Haltelinie,165,382,254,15294,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:44
328,Querschnitt_Straße,165,730,370,15337,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:46
329,Haltelinie,166,272,293,15301,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:45
330,Querschnitt_Straße,166,607,460,15332,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:46
331,Haltelinie,167,379,255,15341,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:47
332,Querschnitt_Straße,167,737,372,15385,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:49
333,Haltelinie,168,287,285,15348,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:47
334,Querschnitt_Straße,168,630,443,15374,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:48
335,Haltelinie,169,374,257,15386,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:49
336,Querschnitt_Straße,169,709,387,15417,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:50
337,Haltelinie,170,279,292,15410,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:50
338,Querschnitt_Straße,170,617,450,15439,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:51
339,Haltelinie,171,378,259,15434,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:51
340,Querschnitt_Straße,171,730,376,15466,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:53
341,Haltelinie,172,269,292,15458,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:52
342,Querschnitt_Straße,172,627,444,15485,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:54
343,Haltelinie,173,381,257,15480,Pkw ohne Anhänger,Saarbruecken_OTCamera04_FR20_2022-10-17_18-45-00.mp4,2022-10-17 18:57:54
